exampleID	toposID	toposLABEL	researcherID	exampleTEXT
104324	10898	TROUVER_MANUSCRIT_LETTRES	74	Quelques-uns fâchés de ne pouvoir deviner de qui elles [les lettres] sont, ont voulu se persuader qu'elles étaient de moi: plût au Ciel !
104590	10953	TRAHIR_PARTENAIRE_POUR_ARGENT	126	Ils tombèrent d'accord de massacrer ce troisième, et d'exécuter ce malheureux dessein en cheminant. Le second promit de commencer, et le premier promit de l'achever au cas qu'il ne le tuât pas du premier coup. Comme ils marchaient montés sur d'assez bons chevaux, et en contestant sur le partage de l'argent du marchand, celui qui avait donné parole de commencer, tirant son pistolet, le lâcha dans la tête de ce poltron et lui emporta toute la cervelle. Celui qui avait donné le conseil tirant le sien comme pour l'achever, le déchargea à dessein dans la teste de ce meurtrier, et le porta raide mort en terre. De cette  sorte il demeura seul maître du butin, ce qui était son dessein: et outre cela, possesseur des deux têtes de ses compagnons.
100192	10026	HOMME_CACHER_CONDITION	24	no text found
105324	11037	REVELER_RETRAITE	43	"CITATION>Je te merrai la ou il dortCITATION>,	Et la roïne ensenble o lui.[...]	CITATION>En une loge de Morroi</CITATION><BR />	Dorment estroit et enbrachiez.<BR />Je vous emmènerai là où il dort avec la reine qui l'accompagne. [...] Dans une loge feuillue du Morrois, ils dorment étroitement enlacés."
104680	10130	SAUVER_DES_BETES	74	[Muça à Moraysèle]J'y sçus comme ce brave Turc se jetta enter le Sanglier, et vôtre chariot ; comme sans autres armes qu'un des pieux qui tenoient les toiles, il arrêta la furieuse bête, lui saisit la Hure ; et avec une force, et une adresse merveilleuse, lui fit donner des défenses contre un tronc qui les rompirent.
105008	11014	APPARENCE_DE_VIOL_CACHER_MOTIF	74	Nimphidius lui même, vint me prendre dans le lieu où j'étois, et me conduisit dans un Cabinet où il avoit accoûtumé de traiter de ses affaires les plus secrettes. Nous ne passions pas une porte qui ne me causât un tremblement universel, et où je n'eusse été haché [sic] en pieces plûtôt que de la passer, si j'avois pû choisir ce parti mais si-tôt que je marquois la moindre repugnance, cinq ou six satellites venoient me prendre, et me glaçant le coeur par leurs seuls regards, ils me firent juger qu'il valoit mieux n'avoir que Nimphidius à vaincre, que de l'obliger à se faire aider d'un tel secours. Je le suivis donc avec plus de docilité apparente que je n'en avois dans le coeur, il s'enferma dans le Cabinet avec moi ; et cette approche du péril commençoit  à m'ôter le sentiment, lors que Nimphidius, m'abordant avec un sourire qui changeoit l'air de sa phisionomie, je conjura de me rassurer ; et d'être persuadée qu'il m'avoit acheptée pour conserver ma gloire, et non pas pour la ternir.
100692	10130	SAUVER_DES_BETES	74+129	C'est Dom Pedre qui parle:  Nous poursuivimes un Sanglier jusques a un bois qui tenoit a cette maison, Isabelle s'y promenoit, sans autre suite qu'une fille, et se trouva malheureusement sur le chemin de Sanglier.  Elle eut si peu de loisir pour se retirer, que je la vis dans un peril extreme.  Je descendis promptement de cheval, je courus a sa defense, je tuay le Sanglier; mais il me fit une assez grande blessure au bras gauche.
103582	10720	INFIDELITE_VENGE_INFIDELITE	42	Pourquoi a-t-il couché avec Concombre ? [...] CITATION> le souvenir de son injure lui fit presque voir la vengeance nécessaire </CITATION>. 
104490	10942	FEMME_EMPRISONNER_FEMME	57	Là-dessus la princesse sortit de la chambre et m'y enferma.        <td width='25%' bgcolor='#F6F5F4' valign='top'>
104790	10997	EMPRISONNER_FEMME_DOMICILE	74	Cette femme [la tante d'Isabelle] étoit severe; elle fit mille reproches à sa niéce:  on l'enferma dés ce moment dans une chambre, où on le lui laissa plus avoir aucune communication avec personne.... [le père d'Isabelle] vouloit  l'enfermer dans un Couvent pour le reste de sa vie.
